Barrio,Título,Precio (US$),Link
No especificado,2 Ambientes Bellísimos! Cocina Separada.baño Completo.lavadero.balcón Con Cerramiento.patio Gran Jardín De 65 Mt,120000.0,https://departamento.mercadolibre.com.ar/MLA-1825024728-2-ambientes-bellisimos-cocina-separadabano-completolavaderobalcon-con-cerramientopatio-gran-jardin-de-65-mt-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=43621e94-1edc-406e-9f90-518a6b8529b3
Núñez,Departamento En Venta En Nuñez,66000.0,https://departamento.mercadolibre.com.ar/MLA-1995640342-departamento-en-venta-en-nunez-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=a1d0f00b-6c3d-4ad5-b173-f13d794d62b4
Núñez,Venta Departamento 2 Ambientes Balcón Amenities Nuñez,120000.0,https://departamento.mercadolibre.com.ar/MLA-1455615065-venta-departamento-2-ambientes-balcon-amenities-nunez-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=f7ca33eb-0ebd-4987-b9ae-d2bee2a44329
Núñez,Departamento En Venta 2 Ambientes Con Balcón En El Barrio De Núñez,120000.0,https://departamento.mercadolibre.com.ar/MLA-1468486297-departamento-en-venta-2-ambientes-con-balcon-en-el-barrio-de-nunez-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=98809125-f293-42fa-a7c2-22e76a1e476c
Núñez,Inmueble Multiuso: Vivienda+local+oficina+depósito+2 Cocheras (una Simple Y Una Doble),120000.0,https://departamento.mercadolibre.com.ar/MLA-1971357086-inmueble-multiuso-viviendalocaloficinadeposito2-cocheras-una-simple-y-una-doble-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=43621e94-1edc-406e-9f90-518a6b8529b3
Núñez,"Departamento De 3 Ambientes En Venta Al Frente Con Balcon, Nuñez",120000.0,https://departamento.mercadolibre.com.ar/MLA-1430757695-departamento-de-3-ambientes-en-venta-al-frente-con-balcon-nunez-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=01528a30-0afa-47a9-8951-c68443088af2
Palermo,Nicaragua Al 4900 - Frente Impecable Vista Abierta Todo Sol Todo Externo,120000.0,https://departamento.mercadolibre.com.ar/MLA-1941936500-nicaragua-al-4900-frente-impecable-vista-abierta-todo-sol-todo-externo-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=e8c88ea6-86c4-4ce8-8f2b-59ccd3042ae1
Palermo,"Departamento De 3 Amb. Con Balcón Y Lavadero. Excelente Ubicación, Palermo.",120000.0,https://departamento.mercadolibre.com.ar/MLA-1986249118-departamento-de-3-amb-con-balcon-y-lavadero-excelente-ubicacion-palermo-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=ef07910a-6c02-4807-b0c2-c463fd711cfc
Palermo,Venta Depto Palermo 2amb 25m2,57000.0,https://departamento.mercadolibre.com.ar/MLA-1456201847-venta-depto-palermo-2amb-25m2-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=abee8f5e-a941-42f3-86bc-ea3c47883600
Palermo,Paraguay 4500 Palermo 3amb U$120.000,120000.0,https://departamento.mercadolibre.com.ar/MLA-1425203973-paraguay-4500-palermo-3amb-u120000-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=a1d0f00b-6c3d-4ad5-b173-f13d794d62b4
Palermo,Departamento - Palermo,120000.0,https://departamento.mercadolibre.com.ar/MLA-1431536197-departamento-palermo-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=e206af31-4ad4-456b-b180-d8d763c751b0
Palermo,Departamento - Palermo,120000.0,https://departamento.mercadolibre.com.ar/MLA-1913461490-departamento-palermo-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=f7ca33eb-0ebd-4987-b9ae-d2bee2a44329
Palermo Chico,"Oportunidad Palermo Chico! Venta Depto 2 Amb C/ Balcón, Caba",102000.0,https://departamento.mercadolibre.com.ar/MLA-1468993679-oportunidad-palermo-chico-venta-depto-2-amb-c-balcon-caba-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=f7ca33eb-0ebd-4987-b9ae-d2bee2a44329
Palermo Chico,Departamento En Venta En Palermo 2 Ambientes Excelente Estado,105000.0,https://departamento.mercadolibre.com.ar/MLA-1983227222-departamento-en-venta-en-palermo-2-ambientes-excelente-estado-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=e8c88ea6-86c4-4ce8-8f2b-59ccd3042ae1
Palermo Hollywood,Departamento En Venta - 1 Dormitorio 1 Baño - 44mts2 - Palermo Hollywood,120000.0,https://departamento.mercadolibre.com.ar/MLA-1462140779-departamento-en-venta-1-dormitorio-1-bano-44mts2-palermo-hollywood-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=98809125-f293-42fa-a7c2-22e76a1e476c
Palermo Hollywood,Venta 2 Ambientes Palermo Hollyhood,77000.0,https://departamento.mercadolibre.com.ar/MLA-1470021023-venta-2-ambientes-palermo-hollyhood-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=98809125-f293-42fa-a7c2-22e76a1e476c
Palermo Nuevo,Departamento 2 Ambientes En Palermo,108000.0,https://departamento.mercadolibre.com.ar/MLA-1450408555-departamento-2-ambientes-en-palermo-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=206f4c2a-a58d-4c16-8965-e213c02f3350
